Delivery Date,Delivery Hour,Delivery Interval,Repeated Hour Flag,Settlement Point Name,Settlement Point Type,Settlement Point Price
01/01/2022,23,1,N,LZ_SOUTH,LZ,20.98
01/01/2022,23,2,N,LZ_SOUTH,LZ,19.59
01/01/2022,23,3,N,LZ_SOUTH,LZ,19.64
01/01/2022,23,4,N,LZ_SOUTH,LZ,19.94
01/01/2022,24,1,N,LZ_SOUTH,LZ,18.82
01/01/2022,24,2,N,LZ_SOUTH,LZ,17.45
01/01/2022,24,3,N,LZ_SOUTH,LZ,16.16
01/01/2022,24,4,N,LZ_SOUTH,LZ,16.48
01/02/2022,1,1,N,LZ_SOUTH,LZ,12.39
01/02/2022,1,2,N,LZ_SOUTH,LZ,1.87
01/02/2022,1,3,N,LZ_SOUTH,LZ,11.6
01/02/2022,1,4,N,LZ_SOUTH,LZ,1.67
01/02/2022,2,1,N,LZ_SOUTH,LZ,9.08
01/02/2022,2,2,N,LZ_SOUTH,LZ,1.19
01/02/2022,2,3,N,LZ_SOUTH,LZ,15.09
01/02/2022,2,4,N,LZ_SOUTH,LZ,3.85
01/02/2022,3,1,N,LZ_SOUTH,LZ,1.94
01/02/2022,3,2,N,LZ_SOUTH,LZ,0.64
01/02/2022,3,3,N,LZ_SOUTH,LZ,11.58
01/02/2022,3,4,N,LZ_SOUTH,LZ,12.32
01/02/2022,4,1,N,LZ_SOUTH,LZ,17.82
01/02/2022,4,2,N,LZ_SOUTH,LZ,14.81
01/02/2022,4,3,N,LZ_SOUTH,LZ,2.52
01/02/2022,4,4,N,LZ_SOUTH,LZ,1.53
01/02/2022,5,1,N,LZ_SOUTH,LZ,5.07
01/02/2022,5,2,N,LZ_SOUTH,LZ,5.35
01/02/2022,5,3,N,LZ_SOUTH,LZ,10.43
01/02/2022,5,4,N,LZ_SOUTH,LZ,12.09
01/02/2022,6,1,N,LZ_SOUTH,LZ,15.11
01/02/2022,6,2,N,LZ_SOUTH,LZ,15.29
01/02/2022,6,3,N,LZ_SOUTH,LZ,15.63
01/02/2022,6,4,N,LZ_SOUTH,LZ,14.72
01/02/2022,7,1,N,LZ_SOUTH,LZ,12.88
01/02/2022,7,2,N,LZ_SOUTH,LZ,10.54
01/02/2022,7,3,N,LZ_SOUTH,LZ,11.39
01/02/2022,7,4,N,LZ_SOUTH,LZ,11.44
01/02/2022,8,1,N,LZ_SOUTH,LZ,11.2
01/02/2022,8,2,N,LZ_SOUTH,LZ,12.46
01/02/2022,8,3,N,LZ_SOUTH,LZ,12.84
01/02/2022,8,4,N,LZ_SOUTH,LZ,13.51
01/02/2022,9,1,N,LZ_SOUTH,LZ,15.41
01/02/2022,9,2,N,LZ_SOUTH,LZ,16.09
01/02/2022,9,3,N,LZ_SOUTH,LZ,20.97
01/02/2022,9,4,N,LZ_SOUTH,LZ,17.86
01/02/2022,10,1,N,LZ_SOUTH,LZ,16.92
01/02/2022,10,2,N,LZ_SOUTH,LZ,18.3
01/02/2022,10,3,N,LZ_SOUTH,LZ,18.62
01/02/2022,10,4,N,LZ_SOUTH,LZ,19.48
01/02/2022,11,1,N,LZ_SOUTH,LZ,20.12
01/02/2022,11,2,N,LZ_SOUTH,LZ,20.48
01/02/2022,11,3,N,LZ_SOUTH,LZ,20.55
01/02/2022,11,4,N,LZ_SOUTH,LZ,22.24
01/02/2022,12,1,N,LZ_SOUTH,LZ,22.44
01/02/2022,12,2,N,LZ_SOUTH,LZ,20.32
01/02/2022,12,3,N,LZ_SOUTH,LZ,20.58
01/02/2022,12,4,N,LZ_SOUTH,LZ,19.83
01/02/2022,13,1,N,LZ_SOUTH,LZ,20.32
01/02/2022,13,2,N,LZ_SOUTH,LZ,19.87
01/02/2022,13,3,N,LZ_SOUTH,LZ,19.41
01/02/2022,13,4,N,LZ_SOUTH,LZ,19.59
01/02/2022,14,1,N,LZ_SOUTH,LZ,18.88
01/02/2022,14,2,N,LZ_SOUTH,LZ,18.56
